System,River,BroodYear,Total_Spawners_BroodYear,Total_Recruits,TotRecPerTotSpn
Bristol Bay,Alagnak,1963,203304,414873.32,2.041
Bristol Bay,Alagnak,1964,248700,381899.89999999997,1.536
Bristol Bay,Alagnak,1965,175020,259728.91,1.484
Bristol Bay,Alagnak,1966,174336,565583.87,3.244
Bristol Bay,Alagnak,1967,202626,389348.78,1.922
Bristol Bay,Alagnak,1968,193872,249192.09,1.285
Bristol Bay,Alagnak,1969,182490,180184.62,0.987
Bristol Bay,Alagnak,1970,177060,145641.75,0.823
Bristol Bay,Alagnak,1971,187302,323740.61,1.728
Bristol Bay,Alagnak,1972,151188,124167.56,0.821
Bristol Bay,Alagnak,1973,35280,429274.46,12.168
Bristol Bay,Alagnak,1974,214848,2277656.54,10.601
Bristol Bay,Alagnak,1975,100480,1022274.02,10.174
Bristol Bay,Alagnak,1976,81822,329805.16000000003,4.031
Bristol Bay,Alagnak,1977,108910.5,1000901.37,9.19
Bristol Bay,Alagnak,1978,584970,2159047.39,3.691
Bristol Bay,Alagnak,1979,750210,2108355.84,2.81
Bristol Bay,Alagnak,1980,759645,643095,0.847
Bristol Bay,Alagnak,1981,209635.5,1182706.21,5.642
Bristol Bay,Alagnak,1982,610215,773488,1.268
Bristol Bay,Alagnak,1983,245361,454515.97,1.852
Bristol Bay,Alagnak,1984,549193.5,2460579.78,4.48
Bristol Bay,Alagnak,1985,300976.5,1644527.48,5.464
Bristol Bay,Alagnak,1986,586959,2023511.76,3.447
Bristol Bay,Alagnak,1987,393235.5,770409.0299999999,1.959
Bristol Bay,Alagnak,1988,496306.5,1273820.8599999999,2.567
Bristol Bay,Alagnak,1989,501738,2740066.39,5.461
Bristol Bay,Alagnak,1990,430338,1282074.47,2.979
Bristol Bay,Alagnak,1991,707851.95,3434249.0799999996,4.852
Bristol Bay,Alagnak,1992,577939.65,186844.24000000002,0.323
Bristol Bay,Alagnak,1993,887336.25,1506976.68,1.698
Bristol Bay,Alagnak,1994,618464.25,1563774.93,2.528
