# FRASER SOCKEYE EFFECTIVE FEMALES
# Data extracted from the Pacific Salmon Commission data page in June 2026
# Specifically the detailed version of the Fraser Sockeye Spawner-Recruit Data Set at
# https://www.psc.org/publications/data/fraser-sockeye-stock-recruit-dataset/
# The same website has detailed documentation for the data
# NOTES for this data set are available at https://github.com/SOLV-Code/SalmonPrize_DataManagement/tree/main/DATA/2026_Sockeye_International/Fraser
# IMPORTANT: Missing recent years are filled in from file provided by DFO (Kaitlyn Dionne; Brian Smith)
BroodYear,Late Stuart,Stellako,Raft,Quesnel,Chilko
1948,NA,9242,5524,48,364597
1949,39085,40231,2109,19210,33029
1950,1834,77410,1917,264,6555
1951,1246,51413,3364,9,57563
1952,16,19920,5116,51,233628
1953,78686,20388,3600,47564,94471
1954,2687,72273,5352,146,21247
1955,3274,29937,2905,30,75834
1956,466,21686,5179,39,368607
1957,300038,18044,3314,132852,83128
1958,13152,61581,6235,1269,70433
1959,4090,41872,5232,29,272891
1960,1307,22718,2252,123,244864
1961,194461,18136,3014,70000,15038
1962,9073,44532,4197,566,42125
1963,1092,41535,2693,40,57207
1964,824,16161,2666,159,131590
1965,122786,20479,2669,105393,20813
1966,4164,51509,2666,1040,107541
1967,897,32467,358,24,90006
1968,179,13680,3455,333,181912
1969,114300,25629,2577,76565,25519
1970,8027,26727,1205,388,50923
1971,725,20147,223,16,97365
1972,3411,19938,4507,46,332353
1973,116703,15424,1345,112414,30231
1974,7371,23718,1479,2587,71127
1975,5679,68451,1391,105,133782
1976,1674,63865,3976,209,228326
1977,75962,10894,198,160717,20385
1978,7115,32528,1343,4349,85570
1979,16711,152583,693,238,147920
1980,287,28477,2056,98,293234
1981,120124,12030,312,332290,20164
1982,8681,34888,1533,20054,142515
1983,1451,61357,1821,1098,213715
1984,672,32672,6701,551,283152
1985,159048,21969,1922,692799,34979
1986,15045,44564,1080,94792,165504
1987,2392,98179,723,11238,268111
1988,3638,200537,9207,4185,206206
1989,327098,15903,925,940432,42811
1990,111747,56537,412,259218,497991
1991,40200,54349,264,24861,597537
1992,12422,55138,4112,3046,319959
1993,1184283,42861,2934,1507350,322298
1994,40705,63584,800,356251,253976
1995,17181,41135,682,116867,298027
1996,27297,167624,21381,21719,504469
1997,415149,23241,2367,904871,509298
1998,67834,96961,3585,534532,467624
1999,33800,66080,3499,106908,432565
2000,226240,195386,27668,37163,395559
2001,179534,61590,16025,1737653,331244
2002,17820,177618,8402,1312599,215050
2003,19208,43829,4890,148232,334896
2004,51310,53755,3244,6629,49193
2005,164548,102247,16967,771952,285065
2006,14283,79834,3442,90047,261918
2007,4144,19626,8064,33601,156518
2008,57881,73798,3562,2473,68731
2009,43271,15770,6039,82772,127367
2010,43476,109383,2389,131545,1181540
2011,778,25856,4430,16936,457653
2012,31771,50572,1710,97,90759
2013,70946,54130,9045,93727,624483
2014,27869,240406,9471,430821,669181
2015,4350,47613,8794,25749,429012
2016,4672,15775,3753,213,66013
2017,80081,49425,2269,59636,212956
2018,67449,95963,1756,332716,388737
2019,3045,26723,362,14301,74636
2020,2487,22136,2722,508,27054
2021,190927,62122,1555,54742,539551
2022,41588,57153,1781,414826,484123
2023,10657,54252,5522,41405,240136
2024,17434,31136,6814,5429,13290
2025,503705,131838,12833,215849,1215298
