System,River,BroodYear,Total_Spawners_BroodYear,Total_Recruits,TotRecPerTotSpn
Fraser River,Chilko,1948,671025,1947973,2.903
Fraser River,Chilko,1949,58310,623138,10.687
Fraser River,Chilko,1950,26447,205875,7.784
Fraser River,Chilko,1951,118110,752327,6.37
Fraser River,Chilko,1952,490065,1858476,3.792
Fraser River,Chilko,1953,201245,619456,3.078
Fraser River,Chilko,1954,37743,712749,18.884
Fraser River,Chilko,1955,132146,1513275,11.452
Fraser River,Chilko,1956,647768,2435670,3.76
Fraser River,Chilko,1957,140765,138228,0.982
Fraser River,Chilko,1958,137081,433371,3.161
Fraser River,Chilko,1959,471162,2212583,4.696
Fraser River,Chilko,1960,426607,1053335,2.469
Fraser River,Chilko,1961,40315,69453,1.723
Fraser River,Chilko,1962,92467,985562,10.659
Fraser River,Chilko,1963,1002252,1206303,1.204
Fraser River,Chilko,1964,238601,2040082,8.55
Fraser River,Chilko,1965,39902,158944,3.983
Fraser River,Chilko,1966,226702,889200,3.922
Fraser River,Chilko,1967,176337,2004710,11.369
Fraser River,Chilko,1968,414446,2476069,5.974
Fraser River,Chilko,1969,76518,402359,5.258
Fraser River,Chilko,1970,145049,694456,4.788
Fraser River,Chilko,1971,186589,852842,4.571
Fraser River,Chilko,1972,564465,2109574,3.737
Fraser River,Chilko,1973,61707,248297,4.024
Fraser River,Chilko,1974,142595,712467,4.996
Fraser River,Chilko,1975,275698,1513636,5.49
Fraser River,Chilko,1976,387467,1699113,4.385
Fraser River,Chilko,1977,56782,199200,3.508
Fraser River,Chilko,1978,159174,1265579,7.951
Fraser River,Chilko,1979,272694,1721513,6.313
Fraser River,Chilko,1980,498826,4441927,8.905
Fraser River,Chilko,1981,36149,208706,5.773
Fraser River,Chilko,1982,253551,1599217,6.307
Fraser River,Chilko,1983,386571,2119741,5.483
Fraser River,Chilko,1984,580664,676358,1.165
Fraser River,Chilko,1985,88120,572968,6.502
Fraser River,Chilko,1986,323971,4800439,14.817
Fraser River,Chilko,1987,430492,4420836,10.269
Fraser River,Chilko,1988,365790,3296360,9.012
Fraser River,Chilko,1989,78647,3117371,39.638
Fraser River,Chilko,1990,833313,2628585,3.154
Fraser River,Chilko,1991,1039624,1382549,1.33
Fraser River,Chilko,1992,515663,1866349,3.619
Fraser River,Chilko,1993,561865,3963871,7.055
Fraser River,Chilko,1994,452239,1419987,3.14
Fraser River,Chilko,1995,547755,1274336,2.326
Fraser River,Chilko,1996,989422,1363890,1.378
Fraser River,Chilko,1997,993254,885013,0.891
Fraser River,Chilko,1998,880944,536366,0.609
Fraser River,Chilko,1999,891922,1570589,1.761
Fraser River,Chilko,2000,759163,501890,0.661
Fraser River,Chilko,2001,669920,1158636,1.73
Fraser River,Chilko,2002,385042,1239287,3.219
Fraser River,Chilko,2003,612239,384660,0.628
Fraser River,Chilko,2004,92143,427715,4.642
Fraser River,Chilko,2005,540481,337649,0.625
Fraser River,Chilko,2006,469504,4993878,10.636
Fraser River,Chilko,2007,306707,1221458,3.982
Fraser River,Chilko,2008,250583,573557,2.289
Fraser River,Chilko,2009,217778,1854451,8.515
Fraser River,Chilko,2010,2462975,2806769,1.14
Fraser River,Chilko,2011,919254,972133,1.058
Fraser River,Chilko,2012,246605,232523,0.943
Fraser River,Chilko,2013,1235222,478616,0.387
Fraser River,Chilko,2014,1034250,1645755,1.591
Fraser River,Chilko,2015,662707,217065,0.328
Fraser River,Chilko,2016,155687,39926,0.256
Fraser River,Chilko,2017,372212,1148359,3.085
Fraser River,Chilko,2018,619623,1660007,2.679
Fraser River,Chilko,2019,169877,NA,NA
Fraser River,Chilko,2020,55490,NA,NA
Fraser River,Chilko,2021,917861,NA,NA
Fraser River,Chilko,2022,881315,NA,NA
Fraser River,Chilko,2023,345517,NA,NA
Fraser River,Chilko,2024,53326,NA,NA
Fraser River,Chilko,2025,2444807,NA,NA
Fraser River,Late Stuart,1948,1049,327,0.312
Fraser River,Late Stuart,1949,107752,1530202,14.201
Fraser River,Late Stuart,1950,5843,39681,6.791
Fraser River,Late Stuart,1951,4402,63810,14.496
Fraser River,Late Stuart,1952,1975,3973,2.012
Fraser River,Late Stuart,1953,369023,1552239,4.206
Fraser River,Late Stuart,1954,5470,137965,25.222
Fraser River,Late Stuart,1955,7618,51345,6.74
Fraser River,Late Stuart,1956,1454,46102,31.707
Fraser River,Late Stuart,1957,531130,1329884,2.504
Fraser River,Late Stuart,1958,23638,54677,2.313
Fraser River,Late Stuart,1959,8225,7392,0.899
Fraser River,Late Stuart,1960,2961,9617,3.248
Fraser River,Late Stuart,1961,411105,778478,1.894
Fraser River,Late Stuart,1962,18689,45069,2.412
Fraser River,Late Stuart,1963,3237,12049,3.722
Fraser River,Late Stuart,1964,1900,3101,1.632
Fraser River,Late Stuart,1965,214958,1124519,5.231
Fraser River,Late Stuart,1966,9032,74079,8.202
Fraser River,Late Stuart,1967,1642,16556,10.083
Fraser River,Late Stuart,1968,470,31299,66.594
Fraser River,Late Stuart,1969,207057,1625590,7.851
Fraser River,Late Stuart,1970,15055,70838,4.705
Fraser River,Late Stuart,1971,1535,66770,43.498
Fraser River,Late Stuart,1972,8704,18766,2.156
Fraser River,Late Stuart,1973,214343,666098,3.108
Fraser River,Late Stuart,1974,14627,50716,3.467
Fraser River,Late Stuart,1975,14229,215116,15.118
Fraser River,Late Stuart,1976,3000,3339,1.113
Fraser River,Late Stuart,1977,146629,1357741,9.26
Fraser River,Late Stuart,1978,13027,79447,6.099
Fraser River,Late Stuart,1979,31918,6854,0.215
Fraser River,Late Stuart,1980,979,21440,21.9
Fraser River,Late Stuart,1981,249699,2033901,8.145
Fraser River,Late Stuart,1982,16758,60989,3.639
Fraser River,Late Stuart,1983,2246,17944,7.989
Fraser River,Late Stuart,1984,1228,14744,12.007
Fraser River,Late Stuart,1985,274642,3507629,12.772
Fraser River,Late Stuart,1986,28715,816561,28.437
Fraser River,Late Stuart,1987,6524,380071,58.257
Fraser River,Late Stuart,1988,11459,208786,18.22
Fraser River,Late Stuart,1989,575791,5327124,9.252
Fraser River,Late Stuart,1990,190060,389823,2.051
Fraser River,Late Stuart,1991,77322,109581,1.417
Fraser River,Late Stuart,1992,23892,135399,5.667
Fraser River,Late Stuart,1993,1805142,3764256,2.085
Fraser River,Late Stuart,1994,76715,115440,1.505
Fraser River,Late Stuart,1995,34362,133454,3.884
Fraser River,Late Stuart,1996,65898,1023000,15.524
Fraser River,Late Stuart,1997,907652,430895,0.475
Fraser River,Late Stuart,1998,139421,277262,1.989
Fraser River,Late Stuart,1999,62120,133622,2.151
Fraser River,Late Stuart,2000,454478,913822,2.011
Fraser River,Late Stuart,2001,351881,505343,1.436
Fraser River,Late Stuart,2002,34521,125952,3.649
Fraser River,Late Stuart,2003,38474,21783,0.566
Fraser River,Late Stuart,2004,83447,282178,3.382
Fraser River,Late Stuart,2005,293144,128650,0.439
Fraser River,Late Stuart,2006,27515,162911,5.921
Fraser River,Late Stuart,2007,8707,12358,1.419
Fraser River,Late Stuart,2008,146658,195183,1.331
Fraser River,Late Stuart,2009,87001,253441,2.913
Fraser River,Late Stuart,2010,75289,311934,4.143
Fraser River,Late Stuart,2011,4053,4850,1.197
Fraser River,Late Stuart,2012,93159,36071,0.387
Fraser River,Late Stuart,2013,132603,234466,1.768
Fraser River,Late Stuart,2014,50691,320565,6.324
Fraser River,Late Stuart,2015,11124,5841,0.525
Fraser River,Late Stuart,2016,10066,11573,1.15
Fraser River,Late Stuart,2017,147470,490753,3.328
Fraser River,Late Stuart,2018,112189,223620,1.993
Fraser River,Late Stuart,2019,5861,NA,NA
Fraser River,Late Stuart,2020,4762,NA,NA
Fraser River,Late Stuart,2021,380107,NA,NA
Fraser River,Late Stuart,2022,87947,NA,NA
Fraser River,Late Stuart,2023,20498,NA,NA
Fraser River,Late Stuart,2024,46535,NA,NA
Fraser River,Late Stuart,2025,1036242,NA,NA
Fraser River,Quesnel,1948,100,618,6.18
Fraser River,Quesnel,1949,30664,486378,15.862
Fraser River,Quesnel,1950,398,2048,5.146
Fraser River,Quesnel,1951,49,413,8.429
Fraser River,Quesnel,1952,7017,562,0.08
Fraser River,Quesnel,1953,110927,610245,5.501
Fraser River,Quesnel,1954,299,10692,35.759
Fraser River,Quesnel,1955,63,180,2.857
Fraser River,Quesnel,1956,2669,1133,0.425
Fraser River,Quesnel,1957,223667,999533,4.469
Fraser River,Quesnel,1958,1863,3412,1.831
Fraser River,Quesnel,1959,76,165,2.171
Fraser River,Quesnel,1960,3057,1475,0.482
Fraser River,Quesnel,1961,302563,1240890,4.101
Fraser River,Quesnel,1962,1078,7287,6.76
Fraser River,Quesnel,1963,86,956,11.116
Fraser River,Quesnel,1964,15839,2812,0.178
Fraser River,Quesnel,1965,364714,1667172,4.571
Fraser River,Quesnel,1966,1753,7462,4.257
Fraser River,Quesnel,1967,119,1761,14.798
Fraser River,Quesnel,1968,5763,428,0.074
Fraser River,Quesnel,1969,273134,1640832,6.007
Fraser River,Quesnel,1970,1373,20339,14.814
Fraser River,Quesnel,1971,171,747,4.368
Fraser River,Quesnel,1972,3488,865,0.248
Fraser River,Quesnel,1973,278061,2336434,8.403
